id;desvionum;tailnum
1037;0;N921AT
1038;0;N995AT
1039;0;N586HA
1040;0;N589HA
1041;0;N586HA
1042;0;N632SW
1043;0;N632SW
1044;0;N632SW
1045;0;N632SW
1046;0;N374SW
1047;0;N374SW
1048;0;N374SW
1049;0;N374SW
1050;0;N933UA
1051;0;N826AW
1052;0;N325AA
1053;0;N339AA
1054;0;N335AA
1055;0;N796AS
1056;0;N796AS
1057;0;N763AS
1058;0;N581JB
1059;0;N634JB
1060;0;N504JB
1061;0;N76153
1062;0;N73152
1063;0;N76504
1064;0;N251WN
1065;0;N251WN
1066;0;N251WN
1067;0;N274WN
1068;0;N274WN
1069;0;N274WN
1070;0;N274WN
1071;0;N274WN
1072;0;N597UA
1073;0;N543UA
1074;0;N545UA
1075;0;N762AS
1076;0;N763AS
1077;0;N590JB
1078;0;N590JB
1079;0;N658JB
1080;0;N658JB
1081;0;N585JB
1082;0;N585JB
1083;0;N57868
1084;0;N57864
1085;0;N33294
1086;0;N3743H
1087;0;N907DL
1088;0;N3754A
1089;0;N391SW
1090;0;N391SW
1091;0;N391SW
1092;0;N391SW
1093;0;N391SW
1094;0;N391SW
1095;0;N622SW
1096;0;N622SW
1097;0;N622SW
1098;0;N622SW
1099;0;N622SW
1100;0;N622SW
1101;0;N675UA
1102;0;N670UA
1103;0;N673UA
1104;0;N826AW
1105;0;N307AW
1106;0;N915AW
1107;0;N915AW
1108;0;N903AW
1109;0;N903AW
1110;0;N762AS
1111;0;N763AS
1112;0;N636JB
1113;0;N584JB
1114;0;N621JB
1115;0;N597HA
1116;0;N594HA
1117;0;N598HA
1118;0;N376SW
1119;0;N376SW
1120;0;N376SW
1121;0;N376SW
1122;0;N376SW
1123;0;N394SW
1124;0;N352SW
1125;0;N394SW
1126;0;N394SW
1127;0;N394SW
1128;0;N667UA
1129;0;N668UA
1130;0;N670UA
1131;0;N903AW
1132;0;N908AW
1133;0;N799AS
1133;1;
1134;0;N796AS
1135;0;N796AS
1136;0;N653JB
1137;0;N581JB
1138;0;N629JB
1139;0;N377DA
1140;0;N377DA
1141;0;N386DA
1142;0;N330AT
1143;0;N272AT
1144;0;N308AT
1145;0;N594HA
1146;0;N598HA
1147;0;N598HA
1148;0;N678AA
1149;0;N678AA
1150;0;N678AA
1151;0;N648SW
1152;0;N601WN
1153;0;N601WN
1154;0;N677UA
1155;0;N676UA
1156;0;N669UA
1157;0;N677UA
1158;0;N665UA
1159;0;N667UA
1160;0;N822AW
1161;0;N822AW
1162;0;N903AW
1163;0;N908AW
1164;0;N799AS
1165;0;N796AS
1166;0;N796AS
1167;0;N197JB
1168;0;N184JB
1169;0;N389DA
1170;0;N908DA
1171;0;N910DN
1172;0;N608SW
1173;0;N608SW
1174;0;N608SW
1175;0;N633SW
1176;0;N385SW
1177;0;N633SW
1178;0;N677UA
1179;0;N665UA
1180;0;N667UA
1181;0;N904AW
1182;0;N909AW
1183;0;N772AS
1184;0;N768AS
1185;0;N768AS
1186;0;N665JB
1187;0;N665JB
1188;0;N635JB
1189;0;N605JB
1190;0;N605JB
1191;0;N72405
1192;0;N72405
1193;0;N77303
1194;0;N121DE
1195;0;N6700
1196;0;N139DL
1197;0;N291AT
1198;0;N278AT
1199;0;N336AT
1200;0;N335SW
1201;0;N335SW
1202;0;N335SW
1203;0;N335SW
1204;0;N380SW
1205;0;N380SW
1206;0;N380SW
1207;0;N380SW
1208;0;N549UA
1209;0;N544UA
1210;0;N906AW
1211;0;N906AW
1212;0;N901AW
1213;0;N901AW
1214;0;N772AS
1215;0;N768AS
1216;0;N768AS
1217;0;N517JB
1218;0;N651JB
1219;0;N590JB
1220;0;N138DL
1221;0;N626DL
1222;0;N124DE
1223;0;N314SW
1224;0;N314SW
1225;0;N314SW
1226;0;N397SW
1227;0;N397SW
1228;0;N397SW
1229;0;N552UA
1230;0;N544UA
1231;0;N547UA
1232;0;N902AW
1233;0;N902AW
1234;0;N7AHAA
1235;0;N7ARAA
1236;0;N7ABAA
1237;0;N765AS
1238;0;N762AS
1238;1;
1239;0;N762AS
1240;0;N644JB
1241;0;N729JB
1242;0;N729JB
1243;0;N78866
1244;0;N77865
1245;0;N3757D
1246;0;N721TW
1247;0;N721TW
1248;0;N403WN
1249;0;N403WN
1250;0;N403WN
1251;0;N745SW
1252;0;N745SW
1253;0;N745SW
1254;0;N552UA
1255;0;N544UA
1256;0;N547UA
1257;0;N909AW
1258;0;N909AW
1259;0;N822AW
1260;0;N915AW
1261;0;N765AS
1262;0;N762AS
1263;0;N762AS
1264;0;N593JB
1265;0;N547JB
1266;0;N506JB
1267;0;N652SW
1268;0;N652SW
1269;0;N652SW
1270;0;N652SW
1271;0;N652SW
1272;0;N648SW
1273;0;N648SW
1274;0;N633SW
1275;0;N648SW
1276;0;N648SW
1277;0;N590UA
1278;0;N519UA
1279;0;N545UA
1280;0;N590UA
1281;0;N544UA
1282;0;N824AW
1283;0;N824AW
1284;0;N902AW
1285;0;N902AW
1286;0;N915AW
1287;0;N796AS
1288;0;N796AS
1289;0;N763AS
1290;0;N905DA
1291;0;N903DA
1292;0;N903DA
1293;0;N267AT
1294;0;N173AT
1295;0;N173AT
1296;0;N629SW
1297;0;N629SW
1298;0;N629SW
1299;0;N629SW
1300;0;N693SW
1301;0;N693SW
1302;0;N693SW
1303;0;N693SW
1304;0;N385UA
1305;0;N913UA
1306;0;N673AW
1307;0;N833AW
1308;0;N830AW
1309;0;N708JB
1310;0;N595JB
1311;0;N703JB
1312;0;N29124
1313;0;N17139
1314;0;N34137
1315;0;N279AT
1316;0;N169AT
1317;0;N287AT
1318;0;N605SW
1319;0;N605SW
1320;0;N605SW
1321;0;N356SW
1322;0;N356SW
1323;0;N356SW
1324;0;N385UA
1325;0;N913UA
1326;0;N649AW
1327;0;N649AW
1328;0;N650AW
1329;0;N650AW
1330;0;N679AW
1331;0;N679AW
1332;0;N775AS
1333;0;N775AS
1334;0;N772AS
1335;0;N772AS
1336;0;N796AS
1337;0;N796AS
1338;0;N648JB
1339;0;N565JB
1340;0;N658JB
1341;0;N76153
1342;0;N67158
1343;0;N76153
1344;0;N135DL
1345;0;N129DL
1346;0;N121DE
1347;0;N360SW
1348;0;N360SW
1349;0;N360SW
1350;0;N635SW
1351;0;N349SW
1352;0;N349SW
1353;0;N669UA
1354;0;N669UA
1355;0;N672UA
1356;0;N570UA
1357;0;N433UA
1358;0;N812UA
1359;0;N673AW
1360;0;N658AW
1361;0;N640AW
1362;0;N775AS
1363;0;N775AS
1364;0;N772AS
1365;0;N772AS
1366;0;N796AS
1367;0;N796AS
1368;0;N648JB
1369;0;N648JB
1370;0;N565JB
1371;0;N565JB
1372;0;N658JB
1373;0;N658JB
1374;0;N18220
1375;0;N78506
1376;0;N13720
1377;0;N267AT
1378;0;N173AT
1379;0;N173AT
1380;0;N765SW
